,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species
4889,Unprovoked,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",M,13,FATAL ,Y,White shark,Injured,White Shark
4890,Invalid,Surfing,M,17,Disappeared & his torn clothing washed ashore,,Shark involvement prior to death was not confirmed,Injured,Regular Shark
4891,Provoked,Paddleskiing,M,,"He tried to hit shark with paddle, shark bumped  ski  PROVOKED INCIDENT",N,2.3 m [7'] shark,Injured,Regular Shark
4892,Unprovoked,Swimming ,M,,FATAL ,Y,,Injured,Regular Shark
4893,Provoked,Cruising,,,"Harpooned shark stove in bow (20"" x 10"" hole), boat sank PROVOKED INCIDENT",N,4.3 m [14'] shark,Injured,Regular Shark
4894,Unprovoked,Diving?,M,20,Back & arm gashed but survived,N,,Injured,Regular Shark
4895,Unprovoked,Swimming,M,38,"FATAL, thigh bitten ",Y,,Injured,Regular Shark
4896,Unprovoked,Swimming,M,,FATAL,Y,,Injured,Regular Shark
4897,Unprovoked,"Fell overboard, hanging onto lifebuoy",M,38,"FATAL. His body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of Quinn",Y,3.7 m [12'] shark,Injured,Regular Shark
4898,Invalid,Fishing,M,,"The hooked shark didn't cut his finger, he was injured by his line",,Invalid,Injured,Regular Shark
4899,Unprovoked,Diving for beche-de-mer from lugger,M,,"FATAL, right buttock & thigh bitten ",Y,,Injured,Regular Shark
4900,Invalid,fishing boat exploded & sank,M,23,"Although listed as an uprovoked fatal attack by SAF, shark bite on his ankle was post-mortem following death by drowning",,Invalid,Injured,Regular Shark
4901,Invalid,fishing boat exploded & sank,M,53,"Although listed as  an uprovoked fatal attack by SAF, he was killed by the explosion. The shark bites were post-mortem ",,Invalid,Injured,Regular Shark
4902,Unprovoked,"Fishing with dynamite, afterwards in water retrieving catch",M,14,"FATAL, leg severed ",Y,,Injured,Regular Shark
4903,Unprovoked,Swimming,F,22,FATAL,Y,,Injured,Regular Shark
4904,Unprovoked,"Fishing for bluefish, shark leapt into dory",M,31,Arm lacerated by a shark that leapt onto boat ,N,4.6 m [15'] shark,Injured,Regular Shark
4905,Unprovoked,Fishing,M,,FATAL,Y,,Injured,Regular Shark
4906,Boating,,,,Shark bumped dinghy twice,N,,Injured,Regular Shark
4907,Unprovoked,,,,"Samoan missionary, Filemani, caught an 8'6"" shark after it had killed 1 man & 2 boys in space of few weeks",N,,Injured,Regular Shark
4908,Provoked,Put foot inside a landed & supposedly dead shark,M,,"Foot bitten, required 1 week hospitalization PROVOKED INCIDENT",N,"White shark, 246-kg ",Injured,White Shark
4909,Unprovoked,Pearl diving,M,,3 gashes on hand & wrist,N,1.8 m [6'] shark,Injured,Regular Shark
4910,Invalid,"Disappeared 11 days earlier, probable homicide victim",M,40,Captive tiger shark regurgitated his arm in the Coogee Aquarium,,Invalid,Injured,Regular Shark
4911,Unprovoked,Diving,F,,Laceration to left leg,N,,Injured,Regular Shark
4912,Unprovoked,,M,,Laceration to hand  ,N,,Injured,Regular Shark
4913,Unprovoked,Diving from dinghy for trochus shell,M,,Buttocks injured by fin or a bump ,N,,Injured,Regular Shark
4914,Provoked,Put foot inside mouth of supposedly dead shark,M,,Injury to foot    PROVOKED INCIDENT,N,,Injured,Regular Shark
4915,Unprovoked,"Pearl diving, but standing in the water",M,,Left thigh abraded & 3 fingers lacerated,N,Tiger shark 3 m  [10'] ,Injured,Tiger Shark
4916,Provoked,Hauling in net with shark in it,M,38,Calf & shin bitten  PROVOKED INCIDENT,N,"""Blue nose shark""",Injured,Regular Shark
4917,Unprovoked,Surfing,M,,Abrasions to shins,N,,Injured,Regular Shark
4918,Unprovoked,Swimming,M,27,"FATAL, left thigh, buttock, left forearm bitten, finger removed  ",Y,"White shark, 4 m [13'] ",Injured,White Shark
4919,Unprovoked,Standing,M,22,"FATAL, thigh bitten ",Y,"White shark, 3.5 m to 4 m [11.5' to 13'] ",Injured,White Shark
4920,Unprovoked,Surfing (pneumatic surfboard),M,20,"Thigh lacerated, abrasions",N,,Injured,Regular Shark
4923,Invalid,,,,human remains washed ahore,,Shark involvement prior to death unconfirmed,Injured,Regular Shark
4925,Unprovoked,Splashing,F,13,Hands severed,N,"Tiger shark, 1.5 m [5'] ",Injured,Tiger Shark
4926,Unprovoked,Swimming (lead swimmer in race),M,19,"FATAL, left leg bitten ",Y,,Injured,Regular Shark
4927,Unprovoked,Taken as he dived into the water,M,14,FATAL,Y,,Injured,Regular Shark
4928,Unprovoked,Swimming & splashing,M,12,Leg injured,N,,Injured,Regular Shark
4929,Unprovoked,Bathing,F,38,FATAL,Y,,Injured,Regular Shark
4930,Provoked,Fishing,M,,Arm bitten by hooked shark PROVOKED INCIDENT,N,,Injured,Regular Shark
4931,Unprovoked,Freediving for trochus shell (submerged),M,,"FATAL, forearm lacerated & surgically amputated, but died of gas gangrene 13 days afterwards ",Y,,Injured,Regular Shark
4932,Provoked,Fishing,M,,Right foot bitten by shark caught & taken onboard  by Mrs. Tucker North PROVOKED INCIDENT,N,1.5 m [5'] shark,Injured,Regular Shark
4935,Unprovoked,Dived into sea from launch & bitten immediately,M,,"FATAL, body was not recovered",Y,,Injured,Regular Shark
4936,Unprovoked,Swimming,F,18,FATAL,Y,White shark,Injured,White Shark
4937,Unprovoked,Swimming,M,11,Lacerations to right leg,N,,Injured,Regular Shark
4939,Provoked,Fishing,M,,Hand bitten while landing shark PROVOKED INCIDENT,N,"A 6.5' ""blue-nosed shark""",Injured,Regular Shark
4940,Unprovoked,Standing,M,8,FATAL,Y,,Injured,Regular Shark
4941,Unprovoked,Body surfing,M,34,Leg lacerated & punctured,N,,Injured,Regular Shark
4942,Unprovoked,Swimming,M,,FATAL,Y,,Injured,Regular Shark
4943,Unprovoked,Swimming ,M,12,Right thigh lacerated,N,,Injured,Regular Shark
4944,Unprovoked,Swimming in waist-deep water ,M,15,"FATAL, right leg lacerated",Y,4.3 m [14'] shark seen in vicinity,Injured,Regular Shark
4945,Unprovoked,Swimming in hip-deep water,M,17,"FATAL, leg & buttocks removed ",Y,4 m [13'] shark seen in vicinity,Injured,Regular Shark
4947,Unprovoked,Splashing in water ,M,,"Lacerated knee & foot, deep puncture wounds",N,3.4 m [11']  tiger shark & a 5' shark,Injured,Tiger Shark
4948,Unprovoked,Fell into the water,M,,FATAL,Y,,Injured,Regular Shark
4950,Unprovoked,Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream ,M,15,"Bumped, chest bitten & badly injured",N,,Injured,Regular Shark
4951,Unprovoked,Swimming on sandbar adjacent to channel,M,22,Severely lacerated  right leg.  Later surgically amputated & survived despite gas gangrene,N,4.3 m [14'] shark seen in area previous week,Injured,Regular Shark
4952,Unprovoked,Free diving for trochus ,M,,"FATAL, right buttock & thigh bitten ",Y,"Tiger shark, 3.4 m [11'] ",Injured,Tiger Shark
4953,Unprovoked,Pearl diving,M,17,"Hand badly injured, right arm surgically amputated above wrist",N,Tiger shark,Injured,Tiger Shark
4954,Unprovoked,Diving,M,,Hand severed,N,,Injured,Regular Shark
4955,Boating,Fishing,M,,"One man bitten on thigh, another on arm",N,3 sharks,Injured,Regular Shark
4956,Provoked,"Fishing, caught a 15' shark & took it onboard",M,,Severely lacerated arm PROVOKED INCIDENT,N,"Blue shark, 4.5 m [14'9""]",Injured,Regular Shark
4957,Unprovoked,Bathing,M,,Right heel & ankle bitten,N,,Injured,Regular Shark
4958,Unprovoked,Swimming,F,,Foot bitten,N,,Injured,Regular Shark
4959,Unprovoked,,M,50,Survived,N,Tiger shark,Injured,Tiger Shark
4961,Unprovoked,Sitting in 3' of water,M,15,Right knee & left leg bitten,N,Thought to involve a 2.4 m [8'] lemon shark; two 2.4 m lemon sharks caught within 100 yds of the site a week prior to & a week after this incident,Injured,Regular Shark
4962,Unprovoked,Standing,F,,Left calf bitten,N,,Injured,Regular Shark
4964,Sea Disaster,Yacht of Michael Howell capsized,,,"5 survived  & 4 perished, but shark involvement not confirmed",Y,,Injured,Regular Shark
4965,Provoked,Fishing,M,,Laceration to lower leg by netted shark PROVOKED INCIDENT,N,7' to 8' shark,Injured,Regular Shark
4966,Unprovoked,Treading water,M,,Lacerations to legs from fins of shark,N,,Injured,Regular Shark
4967,Sea Disaster,Swimming to shore from capsized sailboat,M,,FATAL,Y,,Injured,Regular Shark
4968,Unprovoked,Swimming,M,24,FATAL,Y,Possibly a bull shark or tiger shark,Injured,Tiger Shark
4969,Unprovoked,Standing on his hands,M,,Abrasions to legs,N,10' shark,Injured,Regular Shark
4970,Unprovoked,Diving for trochus  from dinghy when seized by shark 6' below the surface,M,,"Injuries to arm, shoulder & chest, took 2 days to reach hospital",N,4.4 m [14'] shark,Injured,Regular Shark
4972,Provoked,Fishing,M,,Forearm injured by hooked shark PROVOKED INCIDENT,N,Blue shark,Injured,Regular Shark
4973,Unprovoked,Swimming,M,38,Severe abdominal wounds FATAL (Note: 14 days earlier a dog was bitten in two by a large shark),Y,,Injured,Regular Shark
4974,Unprovoked,,M,,Leg bitten,N,,Injured,Regular Shark
4975,Provoked,Fishing ,M,,Laceration to hand  PROVOKED INCIDENT,N,,Injured,Regular Shark
4976,Sea Disaster,Hurricane & Tidal Wave,,,,UNKNOWN,,Injured,Regular Shark
4977,Unprovoked,Swimming,M,24,"Torso bitten with pneumothorax, slight lacerations on left hand",N,Thought to involve a mako or grey nurse shark,Injured,Regular Shark
4978,Unprovoked,Swimming,M,27,FATAL,Y,,Injured,Regular Shark
4979,Unprovoked,Catching a turtle,M,,Left arm severely bitten,N,,Injured,Regular Shark
4980,Provoked,,M,,Hand bitten by landed shark PROVOKED INCIDENT,N,,Injured,Regular Shark
4981,Provoked,,M,,Bitten by landed shark PROVOKED INCIDENT,N,,Injured,Regular Shark
4982,Provoked,Fishing,M,,Hooked shark gashed right leg      PROVOKED INCIDENT,N,16' 800-lb shark,Injured,Regular Shark
4983,Unprovoked,Pearl diving,M,,Bitten on buttock & leg,N,,Injured,Regular Shark
4985,Invalid,,M,17,Body recovered  from 9' shark but death due to shark bite was not confirmed,,Shark involvement prior to death unconfirmed,Injured,Regular Shark
4987,Provoked,Fishing,M,32,Knee bitten by boated shark PROVOKED INCIDENT,N,"250-lb ""dog shark""",Injured,Regular Shark
4988,Provoked,Fishing,M,,Ankle broken when 500-lb boated shark lashed him with its tail PROVOKED INCIDENT,N,,Injured,Regular Shark
4989,Unprovoked,Free diving with goggles,F,,FATAL,Y,,Injured,Regular Shark
4990,Unprovoked,Pearl diving,M,,FATAL,Y,,Injured,Regular Shark
4991,Unprovoked,Pearl diving,M,,Severe injury to forearm near elbow,N,,Injured,Regular Shark
4992,Unprovoked,Standing,M,,"FATAL, torso bitten ",Y,,Injured,Regular Shark
4993,Unprovoked,Standing,F,,"FATAL, torso bitten ",Y,,Injured,Regular Shark
4994,Unprovoked,Swimming,M,,Two 6-inch lacerations,N,,Injured,Regular Shark
4995,Unprovoked,Fishing with dynamite,M,,Foot bitten,N,,Injured,Regular Shark
4996,Unprovoked,Working near fish traps,M,,"FATAL, died next day at 03h00",Y,,Injured,Regular Shark
4997,Unprovoked,Swimming,M,,Thigh bitten,N,A small shark,Injured,Regular Shark
4999,Provoked,Fishing,M,36 & 23,Hooked shark capsized rowboat & the 2 men were drowned PROVOKED INCIDENT,Y,,Injured,Regular Shark
5000,Unprovoked,Collecting fish by lamplight in gully,M,23,"Right shin, calf and sole of foot lacerated",N,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5'] ",Injured,Regular Shark
5001,Unprovoked,Diving for trochus from lugger,M,45,Left foot acerated,N,4 m [13'] shark,Injured,Regular Shark
5002,Unprovoked,Diving off wharf,M,Teen,FATAL,Y,,Injured,Regular Shark
5003,Unprovoked,Swimming,M,,Minor injury,N,,Injured,Regular Shark
5004,Unprovoked,Swimming ,F,20,Right thigh & calf lacerated,N,"Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows",Injured,Regular Shark
5005,Invalid,Fishing,M,,"Swept out to sea by strong currents, his remains found in a 5.5m shark caught off Barbers Point",,Shark involvement prior to death unconfirmed,Injured,Regular Shark
5006,Unprovoked,Swimming,M,18,FATAL  (Wire netting installed at local beaches after this incident.),Y,,Injured,Regular Shark
5007,Invalid,,M,,"""Mysteriously disappeared"" His body was found in an 18', 750-lb shark caught at Barber's Point on 01-Sep-1931",,Shark involvement prior to death unconfirmed,Injured,Regular Shark
5009,Unprovoked,Swimming a quarter mile offshore,M,23,"FATAL, right leg bitten ",Y,,Injured,Regular Shark
5010,Unprovoked,Swimming ,M,,"FATAL, ""rescuers saw shark trying to drag him under by the leg"" ",Y,,Injured,Regular Shark
5011,Unprovoked,Swimming,M,,Minor injury,N,,Injured,Regular Shark
5012,Unprovoked,Swimming,M,,Survived,N,,Injured,Regular Shark
5013,Unprovoked,Fell overboard?,M,,FATAL,Y,,Injured,Regular Shark
5014,Unprovoked,Swimming,M,,Multiple injuries ,N,small sharks,Injured,Regular Shark
5015,Unprovoked,Swimming,M,,Nipped on leg,N,,Injured,Regular Shark
5016,Unprovoked,"Fishing, had just speared a ulua",M,,Survived,N,,Injured,Regular Shark
5017,Provoked,Gaffing & attempting to bring onboard a harpooned shark,M,,Tip of finger amputated PROVOKED INCIDENT,N,"Tiger shark, 3 m [10']",Injured,Tiger Shark
5018,Unprovoked,Crabbing,M,,Lacerations to fingers,N,6' shark,Injured,Regular Shark
5020,Unprovoked,"Fishing, boat capsized",M,,FATAL,Y,,Injured,Regular Shark
5021,Unprovoked,Fishing with a cast net,M,19,"FATAL, left thigh severely bitten ",Y,,Injured,Regular Shark
5023,Provoked,"Fishing, hauling in net, shark in net",M,,"Finger lacerated, PROVOKED INCIDENT",N,"1.8 m [6'] ""cocktail shark",Injured,Regular Shark
5024,Invalid,Swimming ,M,39,Death may have been due to drowning,,Shark involvement prior to death unconfirmed,Injured,Regular Shark
5025,Unprovoked,,M,,Recovered,N,,Injured,Regular Shark
5026,Unprovoked,Pearl diving,M,,"Thigh, kneecap & lower leg badly lacerated",N,,Injured,Regular Shark
5027,Unprovoked,Swimming,M,18,Severe bump & few superficial wounds ,N,1.5 m [5'] shark,Injured,Regular Shark
5028,Unprovoked,"Swimming, carrying tin can with mail to steamer",M,,"FATAL, thereafter canoes were used to carry the mail",Y,,Injured,Regular Shark
5030,Unprovoked,Swimming,M,49,"Bumped by shark, legs abraded",N,,Injured,Regular Shark
5031,Unprovoked,Fell overboard,M,,FATAL,Y,,Injured,Regular Shark
5033,Unprovoked,,M,,FATAL,Y,,Injured,Regular Shark
5034,Unprovoked,Thrown into water from fishing dinghy,M,,Laceration to leg,N,,Injured,Regular Shark
5035,Unprovoked,Swimming,M,,FATAL,Y,,Injured,Regular Shark
5037,Unprovoked,Fishing,M,17,Minor injury,N,,Injured,Regular Shark
5038,Unprovoked,Swimming,M,38,Leg bitten,N,,Injured,Regular Shark
5039,Unprovoked,Swimming,M,,Lacerations to foot & ankle,N,,Injured,Regular Shark
5040,Unprovoked,Swimming,M,29,"Right arm & leg bitten, arm & leg surgically amputated ",N,,Injured,Regular Shark
5041,Unprovoked,Swimming,M,21,Arm lacerated from shoulder to wrist,N,Tiger shark,Injured,Tiger Shark
5042,Unprovoked,,M,,FATAL,Y,,Injured,Regular Shark
5043,Unprovoked,Swimming / floating,M,,Lacerations to arm,N,,Injured,Regular Shark
5045,Invalid,Air disaster,,,Shark involvement prior to death was not confirmed,,Shark involvement prior to death unconfirmed,Injured,Regular Shark
5046,Invalid,,M,17,"Remains of drowning victim recovered from 250-lb female ""blue fin"" shark",,Shark involvement prior to death unconfirmed,Injured,Regular Shark
5048,Unprovoked,Pearl diving,M,19,Arm & chest injured,N,,Injured,Regular Shark
5049,Unprovoked,Diving off pier & treading water,M,18,FATAL,Y,White shark 4.9 m [16'] ,Injured,White Shark
5050,Provoked,Removing shark from a trap,M,,Laceration to thigh from trapped shark PROVOKED INCIDENT,N,,Injured,Regular Shark
5051,Boating,Fishing schooner Jose Luis foundered,,,remains of one of the crew found in shark,Y,,Injured,Regular Shark
5052,Unprovoked,Swimming,M,23,Torso & arm bitten,N,"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern",Injured,White Shark
5053,Sea Disaster,Swimming to shore after a squall  capsized their motorized shark fishing boat,M,,Five men were said to have been killed by sharks ,Y,,Injured,Regular Shark
5054,Unprovoked,,M,17,Survived,N,,Injured,Regular Shark
5055,Unprovoked,Swimming,M,,FATAL,Y,,Injured,Regular Shark
5056,Unprovoked,Diving by wharf,M,16,"FATAL, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions  ",Y,Tiger shark,Injured,Tiger Shark
5057,Unprovoked,Diving,M,,Recovered at Thursday Island Hospital,N,,Injured,Regular Shark
5058,Unprovoked,Bathing or body surfing ,F,17,Superficial lacerations on right leg,N,"""a small shark""",Injured,Regular Shark
5059,Unprovoked,Pearl diving,M,,Injuries to chest & arm,N,,Injured,Regular Shark
5060,Unprovoked,,M,20,FATAL,Y,,Injured,Regular Shark
5061,Unprovoked,,M,50s,FATAL,Y,,Injured,Regular Shark
5062,Sea Disaster,"Sea Disaster, wreck of the  SS Norwich City",M,,"11 of her crew perished, most, possibly all, deaths were due to drowning",Y,,Injured,Regular Shark
5063,Unprovoked,Fishing,M,,"Shark attacked his boat, threatening to capsize it. He jumped overboard & shark bit his arm. He knifed & killed shark. Later his arm was surgically amputated",N,,Injured,Regular Shark
5064,Unprovoked,Pearl diving,M,,Heel injured,N,,Injured,Regular Shark
5065,Unprovoked,Fishing ,M,,Arm injured when sharks rammed his boat,N,,Injured,Regular Shark
5066,Unprovoked,Fell from wharf into water & attacked immediately,M,42,"FATAL, severe injuries to both legs ",Y,,Injured,Regular Shark
5067,Unprovoked,Bathing,M,,Left foot & ankle bitten,N,,Injured,Regular Shark
5068,Unprovoked,Swimming,M,,Right leg severed below knee,N,,Injured,Regular Shark
5069,Invalid,,F,,Body of woman recovered from 15' shark,,Shark involvement prior to death unconfirmed,Injured,Regular Shark
5070,Provoked,Fishing,M,,Leg bitten by hooked shark PROVOKED INCIDENT,N,9-foot shark,Injured,Regular Shark
5071,Unprovoked,Pearl diving,M,,"Injuries to both legs, buttocks, back, lower abdomen & chest",N,,Injured,Regular Shark
5072,Unprovoked,Diving for trepang,M,,Thigh bitten,N,,Injured,Regular Shark
5073,Unprovoked,Diving for trochus,M,,Lacerations to right wrist,N,,Injured,Regular Shark
5074,Provoked,Standing in knee-deep water,M,19,Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,N,"Grey nurse shark, 4' ",Injured,Regular Shark
5075,Unprovoked,,M,,FATAL,Y,,Injured,Regular Shark
5076,Unprovoked,Swimming between boats,M,,FATAL,Y,,Injured,Regular Shark
5077,Unprovoked,Swimming,M,26,Right sole & toes lacerated,N,,Injured,Regular Shark
5078,Unprovoked,Bathing,M,,FATAL,Y,,Injured,Regular Shark
5079,Unprovoked,Launching rowboat through the surf,M,9,Foot bitten,N,"""a dog shark""",Injured,Regular Shark
5080,Unprovoked,Launching rowboat through the surf,M,12,Legs bitten,N,"""a dog shark""",Injured,Regular Shark
5081,Unprovoked,Body surfing,M,20,"FATAL, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",Y,,Injured,Regular Shark
5083,Unprovoked,Swimming,M,39,"FATAL, right thigh bitten, femoral artery severed",Y,Galapagos shark,Injured,Regular Shark
5084,Unprovoked,Swimming,M,  ,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Y,,Injured,Regular Shark
5085,Unprovoked,Bathing,F,,"One was bitten on the leg, the other on the arm",N,,Injured,Regular Shark
5086,Unprovoked,Body surfing,M,14,"FATAL, right thigh & hip bitten",Y,12' shark,Injured,Regular Shark
5087,Boating,Fishing boat,M,,FATAL,Y,,Injured,Regular Shark
5088,Unprovoked,Diving for coins thrown from ship S.S. Moeraki,M,,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,,Injured,Regular Shark
5089,Invalid,Swimming,M,,"Later found to be fiction, never happened",,Invalid,Injured,Regular Shark
5090,Provoked,"Wading, netting fish",M,,Bitten below the knee,N,"""a dog shark""",Injured,Regular Shark
5091,Provoked,Fishing,M,,Thigh lacerated by hooked shark PROVOKED INCIDENT,N,9' shark,Injured,Regular Shark
5092,Unprovoked,,M,,Hand lacerated,N,,Injured,Regular Shark
5093,Unprovoked,Hardhat diving ,M,27,"Put hand through hatch, shark nearly bit off thumb",N,,Injured,Regular Shark
5094,Unprovoked,Pearl diving,M,,Injuries to arm ,N,,Injured,Regular Shark
5095,Provoked,Fishing,M,,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",N,"""Blue nose sharks""",Injured,Regular Shark
5097,Sea Disaster,"Sea Disaster, sinking of the  SS Vestris",M,,FATAL,Y,,Injured,Regular Shark
5098,Unprovoked,Swimming,M,17,"FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee",Y,Morenos leg  & part of his swim suit found in 9' shark caught two hours after the attack. Identified as carcharhinid shark by L. Schultz & C. Limbaugh on photograph,Injured,Regular Shark
5099,Unprovoked,Fishing,M,,Knee bitten,N,,Injured,Regular Shark
5100,Invalid,,M,,Thumb & coat sleeve recovered from shark's gut,,7' shark,Injured,Regular Shark
5101,Unprovoked,Pearl diving,M,,Injuries to chest,N,,Injured,Regular Shark
5103,Unprovoked,Swimming,M,,Bitten on leg,N,,Injured,Regular Shark
5105,Unprovoked,Fishing,M,,Severe lacerations to arm,N,Tiger shark,Injured,Tiger Shark
5106,Unprovoked,Treading water,M,19,Tissue of left leg stripped from knee to ankle ,N,,Injured,Regular Shark
5107,Unprovoked,Diving,M,,FATAL,Y,,Injured,Regular Shark
5108,Unprovoked,Bathing,M,15,Lacerations to right leg ,N,4' shark,Injured,Regular Shark
5109,Unprovoked,Standing in waist-deep water,M,28,"FATAL, right hand severed, large lacerations on thigh",Y,,Injured,Regular Shark
5110,Unprovoked,,M,,Hip bitten,N,,Injured,Regular Shark
5111,Unprovoked,Pearl diving,M,,FATAL,Y,,Injured,Regular Shark
5112,Unprovoked,Swimming,F,,Right leg severely lacerated. Surgically amputated,N,,Injured,Regular Shark
5113,Unprovoked,Swimming,M,,Right leg & hand severely lacerated,N,,Injured,Regular Shark
5114,Unprovoked,Retrieving meat from a cage in the water,M,78,FATAL,Y,,Injured,Regular Shark
5115,Invalid,Swimming,,,Body not recovered ,,Shark involvement not confirmed,Injured,Regular Shark
5116,Invalid,Jumped overboard and swimming,M,,"FATAL, presumed taken by shark/s",,Shark involvement not confirmed,Injured,Regular Shark
5117,Unprovoked,,F,,Leg lacerated,N,,Injured,Regular Shark
5118,Unprovoked,Body surfing,M,18,Foot bitten,N,1.2 m [4'] shark,Injured,Regular Shark
5119,Unprovoked,Standing,M,25,"Tissue of right thigh removed to the bone, both thumbs & some fingers severed ",N,,Injured,Regular Shark
5120,Unprovoked,Swimming,M,17,"FATAL, leg bitten  ",Y,"White shark, 4.4 m [14.5'] . ",Injured,White Shark
5121,Sea Disaster,The steamer Tahiti collided with the ferry Greycliffe,,,40 people perished,Y,,Injured,Regular Shark
5122,Sea Disaster,Italian liner Principessa Mafalda sank,,,"Of 1256 on board, 295 perished, some were taken by sharks",Y,,Injured,Regular Shark
5124,Unprovoked,"Standing, collecting bananas",M,,Leg bitten. He survived,N,,Injured,Regular Shark
5126,Sea Disaster,Sea disaster,,," 55  perished, some were  taken by sharks",Y,,Injured,Regular Shark
5127,Unprovoked,Walking,M,,FATAL,Y,,Injured,Regular Shark
5128,Unprovoked,Diving,M,,Extensive injuries to left leg,N,,Injured,Regular Shark
5129,Unprovoked,Pearl diving,M,,Leg injured,N,,Injured,Regular Shark
5130,Unprovoked,Body surfing / treading water,M,17,"Right buttock & thigh bitten, thumb removed",N,Grey nurse shark?,Injured,Regular Shark
5131,Provoked,Feeling the sharks teeth,M,,"Sharkss jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",N,,Injured,Regular Shark
5133,Provoked,Fishing,M,70,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,N,Mako shark,Injured,Regular Shark
5134,Unprovoked,Body surfing,M,,Both thighs  lacerated,N,"Raggedtooth shark, 1.5 m [5'] ",Injured,Regular Shark
5135,Unprovoked,Swimming,M,,Lost hand,N,,Injured,Regular Shark
5136,Unprovoked,Swimming,M,15,"FATAL, leg bitten from thigh to ankle",Y,3.7 m [12'] shark,Injured,Regular Shark
5137,Unprovoked,Swimming,M,10,"FATAL, shoulder bitten ",Y,,Injured,Regular Shark
5138,Unprovoked,Pearl diving,M,,Shoulder bitten,N,,Injured,Regular Shark
5139,Unprovoked,Diving for trochus,M,,FATAL,Y,,Injured,Regular Shark
5140,Unprovoked,Diving,M,,Arm injured,N,,Injured,Regular Shark
5141,Unprovoked,Jumped into the water,M,,"FATAL, abdomen bitten",Y,,Injured,Regular Shark
5142,Unprovoked,Bathing,M,17,"3"" laceration to leg",N,"Grey nurse shark, 4'",Injured,Regular Shark
5143,Sea Disaster,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,,,"Of 104 people in the water, only 20 survived. 84 people were lost, many to sharks. Sharks 2 pulled crew off life rafts",N,,Injured,Regular Shark
5144,Unprovoked,Jumped out of canoe,M,,FATAL,Y,,Injured,Regular Shark
5145,Unprovoked,Swimming,M,18,FATAL,Y,,Injured,Regular Shark
5146,Unprovoked,Swimming,M,20,"FATAL, body was not recovered",Y,Said to involve 6 to 7 m [20' to 23'] white shark,Injured,White Shark
5148,Unprovoked,Swimming with dog near canning factory,M,15,Leg & hand lacerated and dog bitten,N,1.5 m [5'] white shark or sevengill shark,Injured,White Shark
5150,Unprovoked,Swimming,M,,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",Y,"White shark, 3.8 m [12.5']  ",Injured,White Shark
5151,Unprovoked,Fell overboard from SS Ripley Castle,M,26,When taken back on board 2 hours later both legs were bleeding from shark bites,N,,Injured,Regular Shark
5152,Unprovoked,Swimming,F,,Right leg bitten thigh to heel,N,"According to Carlsmith, the shark's mouth was 3' wide",Injured,Regular Shark
5153,Unprovoked,Swimming ,F,,FATAL,Y,"White shark, 3.7 m [12']  ",Injured,White Shark
5154,Unprovoked,Swimming,M,,Thigh lacerated,N,"""a blue shark""",Injured,Regular Shark
5155,Unprovoked,,M,,Leg lacerated,N,,Injured,Regular Shark
5156,Unprovoked,,M,,FATAL,Y,,Injured,Regular Shark
5157,Provoked,Shark hoisted on board liner Tahiti,M,,"Struck on head by sharks tail, knocked unconscious & deep gash in head PROVOKED INCIDENT",N,,Injured,Regular Shark
5158,Unprovoked,Dived onto shark from floating stage,F,,"FATAL, femoral artery severed ",Y,,Injured,Regular Shark
5160,Unprovoked,Floating on his back,M,55,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",Y,"Tiger shark, 4 m [13'] female",Injured,Tiger Shark
5161,Unprovoked,,F,,Laceration across abdomen,N,,Injured,Regular Shark
5162,Unprovoked,,M,,Both calves lacerated,N,,Injured,Regular Shark
5163,Provoked,Fishing,M,,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,Injured,Regular Shark
5165,Unprovoked,Swimming,F,,"Multiple lacerations on both thighs, right buttock and hip",N,,Injured,Regular Shark
5166,Invalid,,,,Human arm found in shark,,Shark involvement prior to death unconfirmed,Injured,Regular Shark
5167,Unprovoked,,M,,"Right arm nearly severed at shoulder, left wrist lacerated",N,,Injured,Regular Shark
5168,Unprovoked,Bathing in waist-deep water,M,16,"Left thigh bitten, leg surgically amputated ",N,Said to be a small shark,Injured,Regular Shark
